Time,Order ID,Symbol,Side,Amount,Price,Total Cost,Status
2025-12-12 15:18:50,10947580,BTC/USDT,SELL,0.001,92471.79,92.47,closed
2025-12-14 19:25:23,11947556,BTC/USDT,BUY,0.0001,89654.58,8.97,closed
2025-12-14 20:43:17,11993845,BTC/USDT,BUY,0.0001,89573.89,8.96,closed
2025-12-14 21:50:15,12022160,BTC/USDT,BUY,0.0001,89244.43,8.92,closed
2025-12-14 22:47:48,12043453,BTC/USDT,BUY,0.0001,89090.88,8.91,closed
2025-12-14 22:51:08,12044514,BTC/USDT,BUY,0.0001,88950.01,8.90,closed
2025-12-14 23:00:04,12048350,BTC/USDT,BUY,0.0001,89108.88,8.91,closed
2025-12-14 23:15:20,12053784,BTC/USDT,SELL,0.0011,89015.96,97.92,closed
2025-12-14 23:15:33,9618050,ETH/USDT,BUY,0.0318,3074.01,97.75,closed
2025-12-14 23:48:32,844110,TNSR/USDT,SELL,1000.0,0.0968,96.80,closed
2025-12-14 23:49:03,9629190,ETH/USDT,BUY,0.031,3082.23,95.55,closed
2025-12-15 22:34:13,5089683,BNB/USDT,SELL,0.01,884.56,8.85,closed
